,l1 associatividade,sim_seconds,system.cpu.branchPred.condIncorrect,system.cpu.dcache.overall_miss_rate::total,system.cpu.ipc
0,1,0.002385,4461,0.009736,1.039925
1,2,0.002342,4459,0.003840,1.058890
2,4,0.002342,4464,0.003865,1.058635
3,8,0.002343,4464,0.003865,1.058597
4,16,0.002342,4464,0.003861,1.058617
5,32,0.002343,4464,0.003864,1.058596
6,64,0.002343,4464,0.003865,1.058587
