,l1 size,sim_seconds,system.cpu.branchPred.condIncorrect,system.cpu.dcache.overall_miss_rate::total,system.cpu.ipc
0,8,0.000045,806,0.048816,0.198006
1,16,0.000045,803,0.044800,0.197865
2,32,0.000045,803,0.044533,0.197865
3,64,0.000045,803,0.044533,0.197865
