,l1 associatividade,sim_seconds,system.cpu.branchPred.condIncorrect,system.cpu.dcache.overall_miss_rate::total,system.cpu.ipc
0,1,0.000045,793,0.052505,0.198348
1,2,0.000045,803,0.046496,0.197472
2,4,0.000045,803,0.044667,0.197865
3,8,0.000045,803,0.044800,0.197865
4,16,0.000045,803,0.044533,0.197865
5,32,0.000045,803,0.044533,0.197865
6,64,0.000045,803,0.044533,0.197865
